Date,Reflection,primary mood,secondary mood,"productivity
percentage","when most 
productive","studied 
at home","studied 
at school",breakfast qualtity,lunch quality,dinner quality,"water 
drank","workout 
did",meditation,"morning 
shower","played 
sports","interaction 
w/ partner","interaction 
w/ family","interaction 
w/ friends",sickness,"sleep 
duration","nap 
today","deep sleep 
percentage","REM sleep 
percentage",dinner time,bed time,wakeup time
"Sep 25, 2025",Felt in the zone today. Deep work session was particularly effective.,happy,content,77,1,no,no,balanced,protein_heavy,carb_heavy,2.7,no,yes,yes,no,neutral,neutral,neutral,no,7h48m,no,18,24,9:40 PM,10:44 PM,6:05 AM
"Sep 26, 2025",Solid focus throughout the day. Made good progress on the project.,focused,content,77,1,yes,no,balanced,protein_heavy,balanced,2.3,yes,no,yes,no,na,na,neutral,no,6h59m,no,13,21,8:26 PM,10:34 PM,6:30 AM
"Sep 27, 2025",Made progress but not as much as I hoped. Some interruptions.,calm,relaxed,53,3,no,no,carb_heavy,protein_heavy,fat_heavy,2.3,yes,no,yes,no,positive,positive,na,no,8h28m,no,18,17,7:30 PM,11:54 PM,8:33 AM
"Sep 28, 2025",Steady day. Nothing exceptional but got the basics done.,calm,tired,53,3,no,no,balanced,protein_heavy,carb_heavy,2.0,yes,no,no,no,positive,positive,na,no,8h9m,no,13,22,9:05 PM,11:25 PM,7:39 AM
"Sep 29, 2025","Mixed bag today. Morning was good, afternoon was slower.",neutral,relaxed,68,1,yes,yes,carb_heavy,fat_heavy,carb_heavy,3.4,no,yes,no,no,neutral,positive,positive,no,6h28m,no,18,20,7:53 PM,11:00 PM,6:19 AM
"Sep 30, 2025",Okay productivity. Had to context-switch more than I'd like.,calm,tired,58,23,no,yes,balanced,balanced,fat_heavy,2.2,no,yes,yes,no,positive,na,neutral,no,5h49m,no,21,28,8:01 PM,10:53 PM,6:13 AM
"Oct 01, 2025",Decent day overall. Some distractions but managed to stay on track.,calm,tired,67,12,no,yes,carb_heavy,balanced,fat_heavy,2.1,yes,no,yes,no,na,positive,positive,no,7h5m,no,20,19,8:48 PM,9:51 PM,5:15 AM
"Oct 02, 2025",Everything clicked today. Efficient workflow and clear thinking.,energetic,energetic,74,12,yes,no,balanced,carb_heavy,balanced,3.3,no,no,yes,no,neutral,neutral,na,no,7h31m,yes,26,19,6:55 PM,10:13 PM,5:27 AM
"Oct 03, 2025",Okay productivity. Had to context-switch more than I'd like.,neutral,relaxed,65,123,no,yes,carb_heavy,protein_heavy,balanced,2.5,yes,no,yes,yes,positive,na,na,no,9h42m,yes,19,23,7:40 PM,10:30 PM,5:52 AM
"Oct 04, 2025",Steady day. Nothing exceptional but got the basics done.,productive,relaxed,51,2,yes,no,carb_heavy,carb_heavy,carb_heavy,2.8,yes,no,yes,yes,neutral,neutral,neutral,no,7h33m,no,19,21,7:41 PM,9:51 PM,8:58 AM
